SystemName,SystemCode,SchoolLongName,SchoolCode,County,County Code,SB District,Grade Low,Grade High,Elementary School,Middle School,Junior High School,High School,Title 1,PrincipalName,Address,City,State,Zip Code,Zip Code Plus 4,Phone,Fax,Email,Web Address,NCES ID Number
Baldwin County,002,Elsanor School,0060,Baldwin,002,01,PK,06,Y,N,N,N,School-wide,Susan Runnels,23440 US Highway 90,Robertsdale,AL,36567,36567-2504,(251) 947-5401,(251) 947-4966,srunnels@bcbe.org,elsanorschool.com,00058
Baldwin County,002,Fairhope High School,0065,Baldwin,002,01,09,12,N,N,N,Y,Not Title 1,Jon Cardwell,1 Pirate Dr,Fairhope,AL,36532,36532-7085,(251) 928-8309,(251) 990-2053,jcardwell1@bcbe.org,www.fairhopehs.com,00100
Baldwin County,002,Fairhope Middle School,0070,Baldwin,002,01,07,08,N,Y,N,N,Not Title 1,Angela Hall,2 Pirate Dr,Fairhope,AL,36532,36532-7650,(251) 928-2573,(251) 990-0403,ahall@bcbe.org,www.fairhopems.com,00059
Baldwin County,002,Fairhope Intermediate School,0071,Baldwin,002,01,04,06,Y,N,N,N,Not Title 1,Carol Broughton,2 N Bishop Rd,Fairhope,AL,36532,36532-3657,(251) 928-7841,(251) 990-2227,cbroughton@bcbe.org,www.fairhopeintermediate.com,01710
Baldwin County,002,Fairhope Elementary School,0073,Baldwin,002,01,PK,03,Y,N,N,N,Not Title 1,Terry Beasley,408 N Section St,Fairhope,AL,36532,36532-2633,(251) 928-8400,(251) 928-9709,tbeasley@bcbe.org,www.fairhopeelementary.com,01711
Baldwin County,002,Foley Elementary School,0078,Baldwin,002,01,OK,04,Y,N,N,N,School-wide,William Lawrence,450 N Cedar St,Foley,AL,36535,36535-1416,(251) 943-8861,(251) 943-1732,wlawrence@bcbe.org,www.foleyelementary.com,01712
Baldwin County,002,Foley Middle School,0080,Baldwin,002,01,07,08,N,Y,N,N,School-wide,Edmond McDuffie,200 N Oak St,Foley,AL,36535,36535-2007,(251) 943-1255,(251) 943-8221,dmcduffie@bcbe.org,www.foleymiddle.com,00060
Baldwin County,002,Foley High School,0083,Baldwin,002,01,09,12,N,N,N,Y,Not Title 1,Russ Moore,1 Pride Pl,Foley,AL,36535,36535-1199,(251) 943-2221,(251) 943-3538,rmoore@bcbe.org,www.foleyhs.com,01784
Baldwin County,002,Foley Intermediate School,0085,Baldwin,002,01,05,06,Y,N,N,N,School-wide,Branton Bailey,2000 S Cedar St,Foley,AL,36535,36535-1117,(251) 943-1244,(251) 970-2004,lmansell@bcbe.org,www.foleyintermediate.org,01713
Baldwin County,002,Gulf Shores Middle School,0086,Baldwin,002,01,07,08,N,Y,N,N,Not Title 1,Robert McCartney,450 E 15th Ave,Gulf Shores,AL,36542,36542-3500,(251) 968-8719,(251) 967-1577,pdfountain@bcbe.org,gsmsdolphins.com,00023
Baldwin County,002,Gulf Shores Elementary School,0087,Baldwin,002,01,PK,06,Y,N,N,N,School-wide,Julia Pierce,1600 E 3rd St,Gulf Shores,AL,36542,36542-3504,(251) 968-7375,(251) 968-7217,jgpierce@bcbe.org,www.gsesdolphins.com,01477
Baldwin County,002,Loxley Elementary School,0088,Baldwin,002,01,PK,06,Y,N,N,N,School-wide,Misty Wilkinson,4999 S Magnolia St,Loxley,AL,36551,36551-5499,(251) 964-5334,(251) 964-7369,dramey@bcbe.org,www.loxleyelementary.com,01714
Baldwin County,002,Gulf Shores High School,0089,Baldwin,002,01,09,12,N,N,N,Y,Not Title 1,Ernie Rosado,PO Box 3729,Gulf Shores,AL,36547,36547-3729,(251) 968-4747,(251) 968-4770,erosado@bcbe.org,www.gs-hs.com,00641
Baldwin County,002,Magnolia School,0093,Baldwin,002,01,PK,06,Y,N,N,N,School-wide,Debra Phillips,1 Jaguar Loop,Foley,AL,36535,36535-8835,(251) 965-6200,(251) 965-6221,dhill@bcbe.org,www.magnoliaschoolk6.com,00648
Baldwin County,002,Orange Beach Elementary School,0095,Baldwin,002,01,OK,06,Y,N,N,N,Not Title 1,Ryan Moss,4900 S Wilson Blvd,Orange Beach,AL,36561,36561-3910,(251) 981-5662,(251) 981-5684,lbrocato@bcbe.org,www.orangebeachelementary.com,00549
Baldwin County,002,Perdido Elementary School,0100,Baldwin,002,01,PK,08,Y,Y,N,N,School-wide,Phillip Stewart,PO Box 28,Perdido,AL,36562,36562-0028,(251) 937-8456,(251) 937-3073,pstewart1@bcbe.org,www.perdidoschool.com,00062
Baldwin County,002,Pine Grove Elementary School,0105,Baldwin,002,01,PK,06,Y,N,N,N,School-wide,Eric Smith,43980 Pine Grove Rd,Bay Minette,AL,36507,36507-7562,(251) 937-0453,(251) 580-4188,mrabon@bcbe.org,www.pgelementary.com,01715
Baldwin County,002,Robertsdale Elementary School,0115,Baldwin,002,01,PK,06,Y,N,N,N,School-wide,Rhonda Sheppard,1 Cub Dr,Robertsdale,AL,36567,36567-6825,(251) 947-4003,(251) 947-1919,fsheppard@bcbe.org,www.robertsdaleelementary.com,01716
Baldwin County,002,Robertsdale High School,0117,Baldwin,002,01,09,12,N,N,N,Y,Not Title 1,Joseph Roh,PO Box 69,Robertsdale,AL,36567,36567-0069,(251) 947-4154,(251) 947-2666,cross@bcbe.org,www.robertsdalehigh.com,00024
Baldwin County,002,Rockwell Elementary School,0119,Baldwin,002,01,OK,05,Y,N,N,N,Not Title 1,Robert Owen,10183 US Highway 31,Spanish Fort,AL,36527,36527-5663,(251) 626-5528,(251) 621-7206,rowen@bcbe.org,rockwellelem.org,00550
Baldwin County,002,Rosinton School,0120,Baldwin,002,01,PK,06,Y,N,N,N,School-wide,Joseph Benton,19757 County Road 64,Robertsdale,AL,36567,36567-3321,(251) 964-5210,(251) 964-4421,tharden@bcbe.org,www.rosinton.com,00065
Baldwin County,002,Silverhill School,0130,Baldwin,002,01,PK,06,Y,N,N,N,School-wide,Pamela Moorer,PO Box 190,Silverhill,AL,36576,36576-0190,(251) 945-5188,(251) 945-5116,pmmoorer@bcbe.org,www.silverhillelementary.com,00066
Baldwin County,002,J Larry Newton School,0135,Baldwin,002,01,OK,06,Y,N,N,N,School-wide,Mary Krueger,9761 County Road 32,Fairhope,AL,36532,36532-5030,(251) 990-3858,(251) 990-9706,mpwolfe@bcbe.org,www.jlnewtonschool.com,00660
Baldwin County,002,Spanish Fort Elementary School,0140,Baldwin,002,01,OK,05,Y,N,N,N,Not Title 1,Rebecca Comer,30900 State Highway 225,Spanish Fort,AL,36527,36527-3115,(251) 626-9751,(251) 621-8018,bcomer@bcbe.org,www.spanishfortelementary.com,00067
Baldwin County,002,Spanish Fort Middle School,0142,Baldwin,002,01,06,08,Y,Y,N,N,Not Title 1,Oliver Sinclair,33899 Jimmy Faulkner Dr,Spanish Fort,AL,36527,36527-7606,(251) 625-3271,(251) 626-7201,OSinclair@bcbe.org,www.spanishfortmiddle.com,01888
Baldwin County,002,Spanish Fort High School,0145,Baldwin,002,01,09,12,N,N,N,Y,Not Title 1,Marty McRae,1 Plaza De Toros,Spanish Fort,AL,36527,36527-8679,(251) 621-6629,(251) 621-5648,mmcrae@bcbe.org,www.spanishforttoros.org,02073
Baldwin County,002,Stapleton School,0150,Baldwin,002,01,PK,06,Y,N,N,N,School-wide,Charlotte Beasley,35480 Harriot Ave,Stapleton,AL,36578,36578-4146,(251) 937-2038,(251) 580-2001,cbeasley@bcbe.org,www.stapletonelementary.com,00068
Baldwin County,002,Summerdale School,0160,Baldwin,002,01,PK,08,Y,Y,N,N,School-wide,Mark Pumphrey,PO Box 9,Summerdale,AL,36580,36580-0009,(251) 989-6850,(251) 989-6611,mpumphrey@bcbe.org,www.summerdaleschool.com,00069
Baldwin County,002,Swift Elementary School,0170,Baldwin,002,01,PK,06,Y,N,N,N,School-wide,Sandra Thorpe,6330 Bon Secour Hwy,Bon Secour,Al,36511,36511-3217,(251) 949-6422,(251) 949-7015,sthorpe@bcbe.org,www.swiftschool.org,00070
Baldwin County,002,North Baldwin Center For Technology,6000,Baldwin,002,01,09,12,N,N,N,Y,Not Title 1,Holly Resmondo,505 Dr Martin Luther King Blvd,Bay Minette,AL,36507,36507-2822,(251) 937-6751,(251) 937-4688,hresmondo@bcbe.org,www.nbctschool.com,00664
Baldwin County,002,South Baldwin Center For Technology,6010,Baldwin,002,01,09,12,N,N,N,Y,Not Title 1,John Mowdy,19200 Carolina St,Robertsdale,AL,36567,36567-6812,(251) 947-5041,(257) 947-4837,kmowdy@bcbe.org,www.sbctschool.com,00665
Barbour County,003,Barbour County High School,0020,Barbour,003,02,07,12,N,Y,Y,Y,School-wide,Undrea Johnson,PO Box 339,Clayton,AL,36016,36016-0339,(334) 775-3545,(334) 775-8861,clarence.magee@barbourschools.org,,00074
Barbour County,003,Barbour County Primary School,0025,Barbour,003,02,PK,02,Y,N,N,N,School-wide,Patrick Fenderson,Po Box 429,Louisville,AL,36048,36048-0000,(334) 266-5643,(334) 266-5195,patrick.fenderson@barbourschools.org,,01478
Barbour County,003,Barbour County Intermediate School,0035,Barbour,003,02,03,06,Y,N,N,N,School-wide,Kelvin James,PO Box 429,Louisville,AL,36048,36048-0429,(334) 266-5643,(334) 266-5195,kelvinjames@barbourschools.org,,01641
Bibb County,004,Bibb County High School,0010,Bibb,004,04,09,12,N,N,N,Y,School-wide,James Alston,220 Birmingham Rd,Centreville,AL,35042,35042-2911,(205) 926-9071,(205) 926-6848,vanfleetl@bibbed.org,www.bibbed.org,00092
Bibb County,004,Centreville Middle School,0030,Bibb,004,04,05,08,Y,Y,N,N,School-wide,Earnie Cutts,160 4th St,Brent,AL,35034,35034-3739,(205) 926-9861,(205) 926-3917,cuttse@bibbed.org,www.bibbed.org,00094
Bibb County,004,Brent Elementary School,0040,Bibb,004,04,OK,04,Y,N,N,N,School-wide,Ronda Hollifield,160 4th St,Brent,AL,35034,35034-3739,(205) 926-4993,(205) 926-5642, hollifieldm@bibbed.org,www.bibbed.org,00095
Bibb County,004,Randolph Elementary School,0050,Bibb,004,04,OK,06,Y,N,N,N,School-wide,Louise Johnson,7259 Highway 36,Randolph,AL,36792,36792-5443,(334) 366-2897,(334) 366-5003,johnsonlo@bibbed.org,www.bibbed.org,00096
Bibb County,004,West Blocton Elementary School,0070,Bibb,004,04,OK,04,Y,N,N,N,School-wide,Karen Hubbard,828 Cahaba River Dr,West Blocton,AL,35184,35184-3932,(205) 938-9005,(205) 938-2653,hubbardk@bibbed.org,www.bibbed.org,00098
Bibb County,004,West Blocton Middle School,0075,Bibb,004,04,05,08,Y,Y,N,N,School-wide,Greg Blake,4721 Truman Aldrich Pkwy,West Blocton,AL,35184,35184-3901,(205) 938-2451,(205) 938-3261,mcgeed@bibbed.org,www.bibbed.org,01426
Bibb County,004,West Blocton High School,0080,Bibb,004,04,09,12,N,N,N,Y,School-wide,Terry Lawley,4734 Truman Aldrich Pkwy,West Blocton,AL,35184,35184-3900,(205) 938-9002,(205) 938-9546,lawleyt@bibbed.org,www.bibbed.org,00099
Bibb County,004,Woodstock Elementary School,0095,Bibb,004,04,OK,04,Y,N,N,N,School-wide,Andrea Essman,19456 Eastern Valley Rd,Woodstock,AL,35188,35188-3446,(205) 938-2028,(205) 938-2044,essmana@bibbed.org,www.bibbed.org/wes,01480
Bibb County,004,Bibb County Career Academy,6000,Bibb,004,04,09,12,N,N,N,Y,Not Title 1,Wesley Lawley,17191 Highway 5,West Blocton,AL,35184,35184-3638,(205) 938-7434,(205) 938-2037,lawleyw@bibbed.org,www.bibbed.org,00669
Blount County,005,Allgood Alternative School,0010,Blount,005,06,02,12,Y,Y,Y,Y,Not Title 1,Jeff Dean,45 Community Rd,Oneonta,AL,35121,35121-3308,(205) 274-9865,,jdean@blountboe.net,www.blountboe.net,00670
Blount County,005,Appalachian  School,0020,Blount,005,06,OK,12,Y,Y,Y,Y,School-wide,Jonathan Cleveland,350 County Highway 12,Oneonta,AL,35121,35121-7112,(205) 274-9712,(205) 274-9706,jcleveland@blountboe.net,https://appalachianhigh.wix.com/appalachianhigh,00203
Blount County,005,Blount County Learning Center,0025,Blount,005,06,PK,12,Y,Y,Y,Y,Not Title 1,DeWon Farmer,189 Horton Ln,Cleveland,AL,35049,35049-3341,(205) 274-0503,(205) 274-7848,dfarmer@blountboe.net,https://bclc.blount.k12.al.us,00676
Blount County,005,Blountsville Elementary School,0030,Blount,005,06,OK,06,Y,N,N,N,School-wide,Shannon Lakey,260 Page St,Blountsville,AL,35031,35031-3253,(205) 429-2458,(205) 429-5540,slakey@blountboe.net,www.bes1.net,00205
Blount County,005,Cleveland High School,0040,Blount,005,06,07,12,N,Y,Y,Y,School-wide,Denise Martin,71 High School St,Cleveland,AL,35049,35049-3691,(205) 274-9915,(205) 274-0201,dlmartin@blountboe.net,www.clevelandhighschool.net,00206
Blount County,005,Cleveland Elementary School,0041,Blount,005,06,OK,06,Y,N,N,N,School-wide,Randy Walker,115 Stadium Dr,Cleveland,AL,35049,35049-3694,(205) 274-2223,(205) 274-2224,rwalker@blountboe.net,https://cleveland.bce.schoolinsites.com/,01476
Blount County,005,Hayden Primary School,0045,Blount,005,06,OK,02,Y,N,N,N,School-wide,Kimberly Harbison,160 Bracken Ln,Hayden,AL,35079,35079-6575,(205) 647-2103,(888) 959-1130,kharbison@blountboe.net,www.haydenprimary.net,00207
Blount County,005,Hayden High School,0050,Blount,005,06,08,12,N,Y,N,Y,School-wide,David Hargett,125 Atwood Rd,Hayden,AL,35079,35079-6502,(205) 647-0397,(205) 647-8633,dhargett@blountboe.net,www.haydenhigh.net,00208
Blount County,005,Hayden Elementary School,0055,Blount,005,06,03,04,Y,N,N,N,School-wide,Anthony Marsh,4111 State Highway 160,Hayden,AL,35079,35079-6557,(205) 647-6578,(205) 647-1386,smarsh@blountboe.net,www.haydenelementary.com,00207
Blount County,005,Hayden Middle School,0057,Blount,005,06,05,07,Y,Y,N,N,School-wide,Ken Parker,310 2nd Ave,Hayden,AL,35079,35079-6258,(205) 647-3083,(855) 861-1050,kparker@blountboe.net,www.haydenmiddle.net,00101
Blount County,005,JB Pennington High School,0060,Blount,005,06,07,12,N,Y,Y,Y,School-wide,Brian Kirk,81 College St,Blountsville,AL,35031,35031-6820,(205) 429-4101,(205) 429-4104,bkirk@blountboe.net,https://penningtonhigh.schools.officelive.com,00209
Blount County,005,Locust Fork High School,0070,Blount,005,06,07,12,N,Y,Y,Y,School-wide,Thomas Smitherman,77 School Rd,Locust Fork,AL,35097,35097-5811,(205) 681-7846,(205) 681-6175,tsmitherman@blountboe.net,https://locustforkhs.blount.k12.al.us,00210
Blount County,005,Locust Fork Elementary,0071,Blount,005,06,OK,06,Y,N,N,N,School-wide,Amy Williamson,155 School Rd,Locust Fork,AL,35097,35097-5813,(205) 681-9512,(205) 681-8479,awilliamson@blountboe.net,https://locustfork.al.bce.schoolinsites.com/,01427
Blount County,005,Southeastern School,0105,Blount,005,06,OK,12,Y,Y,Y,Y,School-wide,Billy Puckett,18770 State Highway 75,Remlap,AL,35133,35133-3208,(205) 681-3964,(205) 681-3975,bpuckett@blountboe.net,https://southeasternschool.al.bcs.schoolinsites.com,00211
Blount County,005,Susan Moore High School,0120,Blount,005,06,07,12,N,Y,Y,Y,School-wide,Mike Stansberry,4040 Susan Moore Rd,Blountsville,AL,35031,35031-7039,(205) 466-7663,(205) 466-7858,mstansberry@blountboe.net,www.susanmoorebulldogs.com,00213
Blount County,005,Susan Moore Elementary School,0121,Blount,005,06,OK,06,Y,N,N,N,School-wide,Bridgette Murphree,3996 Susan Moore Rd,Blountsville,AL,35031,35031-7038,(205) 466-5844,(205) 466-3808,bmurphree@blountboe.net,https://www.susanmoore.al.bce.schoolinsites.com/,01481
Blount County,005,Blount County Career Technical Center,6000,Blount,005,06,10,12,N,N,N,Y,Not Title 1,Johnny Pullen,PO Box 125,Cleveland,AL,35049,35049-0125,(205) 625-3424,(205) 625-3427,jpullen@blountboe.net,www.blountcountycareertech.weebly.com,00682
Bullock County,006,South Highlands Middle School,0030,Bullock,006,05,05,08,Y,Y,N,N,School-wide,Sean Dees,700 Bernard Street,Union Springs,AL,36089,36089-0111,(334) 738-2896,(334) 738-5746,sean.dees@bullockco.org,www.bullock.k12.al.us,00221
Bullock County,006,Union Springs Elementary School,0040,Bullock,006,05,OK,04,Y,N,N,N,School-wide,Marvin Lowe,211 Conecuh Ave W,Union Springs,AL,36089,36089-1399,(334) 738-2990,(334) 738-2923,marvin.lowe@bullockco.org,www.bullock.k12.al.us,00222
Bullock County,006,Bullock County High School,0050,Bullock,006,05,09,12,N,N,N,Y,School-wide,Derrick Harris,PO Box 5108,Union Springs,AL,36089,36089-5108,(334) 738-2198,(334) 738-2606,derrick.harris@bullockco.org,www.bullock.k12.al.us,00218
Bullock County,006,Bullock County Career Technical Center ,6000,Bullock,006,05,08,12,N,Y,N,Y,Not Title 1,,304 Blackmon Ave E,Union Springs,AL,36089,36089-1625,(334) 738-4370,(334) 738-4121,james.foulks@bullockco.org,www.bullock.k12.al.us,00688
Butler County,007,Greenville High School,0030,Butler,007,01,09,12,N,N,N,Y,School-wide,Joseph Dean,100 Tiger Dr,Greenville,AL,36037,36037-3819,(334) 382-2608,(334) 382-7202,greenvillehs@butlerco.k12.al.us,https://butlerco.ghs.schoolfusion.us,00226
Butler County,007,Greenville Middle School,0040,Butler,007,01,05,08,Y,Y,N,N,School-wide,Catherine Tanner,300 Overlook Rd,Greenville,AL,36037,36037-1497,(334) 382-3450,(334) 382-0686,greenvillems@butlerco.k12.al.us,https://butlerco.gms.schoolfusion.us,00228
Butler County,007,Greenville Elementary School,0050,Butler,007,01,03,04,Y,N,N,N,School-wide,Kent McNaughton,102 Butler Cir,Greenville,AL,36037,36037-1420,(334) 382-7614,(334) 382-2425,greenvillees@butlerco.k12.al.us,https://butlerco.ges.schoolfusion.us,01482
Butler County,007,McKenzie High School,0060,Butler,007,01,PK,12,Y,Y,Y,Y,School-wide,Michael Gunter,PO Box 158,McKenzie,AL,36456,36456-0158,(334) 374-2711,(334) 374-8108,mckenziehs@butlerco.k12.al.us,https://butlerco.ms.schoolfusion.us,00229
Butler County,007,WO Parmer Elementary School,0080,Butler,007,01,OK,02,Y,N,N,N,School-wide,JACQUELINE THORNTON,100 Butler Circle,Greenville,AL,36037,36037-1499,(334) 382-8720,(334) 382-2425,jackie.thornton@butlerco.k12.al.us,https://wop.butlerco.k12.al.us/,00231
Butler County,007,Georgiana School ,0085,Butler,007,01,PK,12,Y,Y,Y,Y,School-wide,Bryant Marlow,866 Highway 31 South,Georgiana,AL,36033,36033-0000,(334) 376-9130,(334) 376-2956,bryant.marlow@butlerco.k12.al.us,https://butlerco.bcms.schoolfusion.us,02144
Butler County,007,Butler County Area Vocational School,6010,Butler,007,01,10,12,N,N,N,Y,Not Title 1,Jennifer Burt,211 School Highlands Rd,Greenville,AL,36037,36037-3213,(334) 382-2665,(334) 382-8607,joseph.west@butlerco.k12.al.us,,00690
Calhoun County,008,Alexandria Elementary School,0005,Calhoun,008,06,OK,05,Y,N,N,N,School-wide,Tesha Crump,PO Box 121,Alexandria,AL,36250,36250-0121,(256) 741-4300,(256) 820-7101,tcrump.ae@ccboe.us,www.calhoun.k12.al.us/schools/ae/,01747
Calhoun County,008,Alexandria High School,0010,Calhoun,008,06,06,12,Y,Y,Y,Y,Not Title 1,Anthony Holley,PO Box 180,Alexandria,AL,36250,36250-0180,(256) 741-4415,(256) 820-7161,mholley.ah@ccboe.us,www.calhoun.k12.al.us/ah/,00232
Calhoun County,008,Calhoun County Alternative School,0029,Calhoun,008,06,OK,12,Y,Y,Y,Y,Not Title 1,Robin Kines,1200 Church Ave SE,Jacksonville,AL,36265,36265-2914,(256) 741-7901,(256) 435-0745,rkines.al@calhoun.k12.al.us,,00700
